CID,Topic/s,Product name,Sub-Topic/s,Impact Value,Published Date,Platform Type,Like Count,Share Count,Comment Count,View Count,Alexa Rank,Virality Score,Virality Category,Countries,Languages,Sentiments,Sentiment Type,Author Id,Author Name,Author Gender,Author Image Url,Followers,Following,Post Type,Mentions,Hashtags,Post Url,Publications,Post Id,Title,Post Data,,Parent Post Id,Parent Post Url,Handler Name,Media Type,Source Type,Source Name,Media Url,Post Lat,Post Lon,Last Engagement Update Time,Content URL
01375edaae5e3edb7115e4962926c5aa11bd5844,"Generic Skincare,SKII & Competitor Themes,Datapull,Datapull,SKII & Competitor Themes,SKII & Competitor Themes,JP FTE Landscape",IPSA Time Reset Aqua,"Generic Skincare -JP,Pricing & Value,Generic Skincare JP 2,Generic Skincare JP 7,Trial & purchase intent,Product Fragrance,IPSA Time Reset Aqua",0,2020-12-31 23:49 SGT,rating_review,0,0,0,0,8869,0,Not Viral,Japan,Japanese,POSITIVE,System Sentiment,,ゆうじろう★,unknown,,,,Comment,,,https://www.cosme.net/product/product_id/10079040/review/509172111,,46eff251d985eb2533dc5a76fe39d0dad0235b3b,,使用して1ヶ月経った感想です 高い化粧品にありがちな独特な匂いや、薬品のにおいもなく良いです。また、個人的にはとろけるというよりかは、肌に澄み渡る感じかなぁと思い…,"It is a unique smell of high cosmetics and good things that are common to use with high cosmetics. Also, I think that it feels like it's clearer than I can strike it personally ...",df137cb9148542b1df9f9ed02156401689bd749d,https://www.cosme.net/product/product_id/10079040/reviews,https://www.cosme.net/category,TEXT,Earned,Cosme,,,,2021-01-01 01:50 SGT,
ceb3cd851218552ff59aa1b74eec180a09ad9677,"Datapull,SKII & Competitor Themes,SKII & Competitor Themes,JP FTE Landscape",IPSA Time Reset Aqua,"IPSA,Product Efficacy 2,Age To Use Product,IPSA Time Reset Aqua",0,2020-12-31 22:34 SGT,twitter,0,0,0,0,0,41.467,Not Viral,Japan,Japanese,NEUTRAL,System Sentiment,618134037,らぐ🐿,unknown,https://pbs.twimg.com/profile_images/1102089311090929664/3lbv5Yn__normal.jpg,71,68,Post,,,http://twitter.com/LaH6Y6D6Egu/statuses/1344653072841240576,,1344653072841240576,,2020年のベスコス！！IPSA ザ・タイムR アクアSOFINA iP ベースケアセラム 土台美容液rom&amp;nd JUICY LASTING TINTヒロインメイク ピンキッシュブラウン https://t.co/36L9NOK0xJ,2020 Bescos! ! IPSA The Time R Aqua Sofina IP Base Care Serum Soft Building ROM & AMP; ND JUICY LASTING TINT Heroine Makeup Pinkish Brown https://t.co/36L9NOK0XJ,,,LaH6Y6D6Egu,IMAGE,Earned,Lah6y6d6egu,,,,2021-01-01 03:49 SGT,
bb1b1e870764edd58a0b03303f2599bd283cde38,"Generic Skincare,Datapull,Datapull,Datapull,Datapull,SKII & Competitor Themes,JP FTE Landscape",IPSA Time Reset Aqua,"Generic Skincare -JP 1,Generic Skincare JP 4,Generic Skincare JP 6,Generic Skincare JP 5,Generic Skin Care 7,Trial & purchase intent,IPSA Time Reset Aqua",0,2020-12-31 19:05 SGT,rating_review,0,0,0,0,8869,0,Not Viral,Japan,Japanese,POSITIVE,System Sentiment,,_まいなさん,unknown,,,,Comment,,,https://www.cosme.net/product/product_id/10079040/review/509171443,,a9f174129da75a5509a4eb0cf688dc51aa220161,,敏感肌で自分に合う化粧水を探していて、口コミがよかったこちらを購入してみました。使った次の日から肌の調子がよく自分の肌に合っていると感じ、これからも使用し続けたいと思いま…,"I was looking for a lotion that suits myself with sensitive skin, and I tried to buy this book. I felt that the skin condition is often fitted to my skin from the next day I used, and I would like to continue to use it ...",df137cb9148542b1df9f9ed02156401689bd749d,https://www.cosme.net/product/product_id/10079040/reviews,https://www.cosme.net/item/item_id/1089/reviews,TEXT,Earned,Cosme,,,,2020-12-31 19:39 SGT,
9ee3cf881670f0806dcf8e631d8e684a566e2b8a,"Datapull,Datapull,Datapull,Generic Skincare,Generic Skincare,Datapull,Datapull,Datapull,Datapull,Datapull,Datapull,SKII & Competitor Themes,Competitors,SKII & Competitor Themes,JP FTE Landscape",IPSA Time Reset Aqua,"IPSA,IPSA - 1,Ipsa JP,Generic Skincare -JP,Generic Skincare,Generic Skin Care 5,Generic Skincare -JP 3,Generic Skincare -JP 3 New,Generic Skincare -JP 11,Generic Skincare -JP 11 _New,Generic Skincare -JP 10,Product Efficacy 1,IPSA,Product Efficacy 2,IPSA Time Reset Aqua",0,2020-12-31 18:34 SGT,twitter,0,0,0,0,0,45.485,Not Viral,Japan,Japanese,POSITIVE,System Sentiment,1286661743507210243,ななじ,unknown,,25,54,Post,,,http://twitter.com/Nana6986/statuses/1344592870473273348,,1344592870473273348,,2020、とても気に入った物は｢IPSAのザ・タイムRアクア｣さん。つけた後さっぱりしててめちゃくちゃいい！なべさんも使ってるとか何とか...？IPSAのスキンケアアイテムは私も大好きになった✌️ https://t.co/YAIkOQK790,"2020, very liked things are ""IPSA's The Time R Aqua"". It's pretty cool after putting it! If you are also using Nabe or something ...? IPSA skin care items I also love ✌️ https://t.co/yaikoqk790",,,Nana6986,IMAGE,Earned,Nana6986,,,,2020-12-31 20:14 SGT,
396a43f38772703b33cc8d7b0d0db8fb5dc81ec5,"Datapull,Generic Skincare,JP FTE Landscape",IPSA Time Reset Aqua,"Generic Skin Care 7,Generic Skincare -JP 1,IPSA Time Reset Aqua",0,2020-12-31 17:27 SGT,rating_review,0,0,0,0,8869,0,Not Viral,Japan,Japanese,POSITIVE,System Sentiment,,スタンドマイみー,unknown,,,,Comment,,,https://www.cosme.net/product/product_id/10079040/review/509171212,,cc52c1cadbb3063b77707f7166ef89e518d9d7da,,ニキビができても治りやすい肌になってきている気がします。また、きめも整ってきているためお化粧のりがすごく良くなりました。今後もリピしてみて効果を確かめたいなと思います。,"Even if acne is possible, I feel that it is easy to get rid of it. In addition, makeup is very good because it has been ready. I think I would like to ask for a repair in the future.",df137cb9148542b1df9f9ed02156401689bd749d,https://www.cosme.net/product/product_id/10079040/reviews,https://www.cosme.net/item/item_id/1036/reviews/page/1,TEXT,Earned,Cosme,,,,2020-12-31 19:44 SGT,
413210af85db0254445e3a04c3894828ea64c370,JP FTE Landscape,IPSA Time Reset Aqua,IPSA Time Reset Aqua,0,2020-12-31 17:21 SGT,rating_review,0,0,0,0,8869,0,Not Viral,Japan,Japanese,NEGATIVE,System Sentiment,,ぐでこの,unknown,,,,Comment,,,https://www.cosme.net/product/product_id/10079040/review/509171197,,096c409fc97d80f3e3047e231f24d635c24d017c,,ベタつかないです！,I can not stick!,df137cb9148542b1df9f9ed02156401689bd749d,https://www.cosme.net/product/product_id/10079040/reviews,https://www.cosme.net/item/item_id/1036/reviews/page/1,TEXT,Earned,Cosme,,,,2020-12-31 19:44 SGT,
415dcef0726a23fed2da664b3a9b6dfc095d4e9e,"Generic Skincare,Datapull,Datapull,Datapull,Datapull,SKII & Competitor Themes,JP FTE Landscape",IPSA Time Reset Aqua,"Generic Skincare -JP 1,Generic Skin Care 7,Generic Skincare JP 4,Generic Skincare JP 6,Generic Skincare JP 5,Product Efficacy 1,IPSA Time Reset Aqua",0,2020-12-31 16:55 SGT,rating_review,0,0,0,0,8869,0,Not Viral,Japan,Japanese,POSITIVE,System Sentiment,,○りんごすい○,unknown,,,,Comment,,,https://www.cosme.net/product/product_id/10079040/review/509171136,,0c2d34092ce4ab2fa680e6a4dae34daf03202312,,めちゃくちゃ敏感肌&ニキビ肌ですが、全然しみなかったです水みたいな化粧水で、少なめでも結構浸透しましたむしろたっぷり使うとすぐなくなっちゃうかも…使ったあとはモチモチする…,"It is a mess with sensitive skin & acne, but I did not think at all.",df137cb9148542b1df9f9ed02156401689bd749d,https://www.cosme.net/product/product_id/10079040/reviews,https://www.cosme.net/item/item_id/802/reviews/page/5,TEXT,Earned,Cosme,,,,2020-12-31 19:59 SGT,
6b76aeb28d485677a23b1f0033b6e7229453a633,"Datapull,Datapull,Datapull,Competitors,JP FTE Landscape",IPSA Time Reset Aqua,"IPSA,IPSA - 1,Ipsa JP,IPSA,IPSA Time Reset Aqua",0,2020-12-31 16:23 SGT,twitter,0,0,0,0,0,271.474,Not Viral,Japan,Japanese,POSITIVE,System Sentiment,3053103823,たまこ,unknown,https://pbs.twimg.com/profile_images/1322907759994523656/ijOOrCR4_normal.png,3120,185,Comment,,,http://twitter.com/tamagawagirl/statuses/1344559780577247233,,1344559780577247233,,24. IPSA ザ・タイムRアクア &amp; ME秋口にいわゆる夏枯れ肌なのか未だかつてないほどに肌が乾燥して30の洗礼を感じたけれど、そこから救ってくれた救世主。過不足なく肌が潤う。愛。 https://t.co/EmXG4MDHkf,"24. IPSA The Time R Aqua & AMP; ME Autumn The skin was so-called dry skin or yet, so the skin felt about 30 baptism, but the savior saved from there. The skin moisturizes without excessive failure. Love. https://t.co/emXG4MDHKF",1344557906566340608,http://twitter.com/tamagawagirl/statuses/1344557906566340608,tamagawagirl,IMAGE,Earned,Tamagawagirl,,,,2020-12-31 17:58 SGT,
abd1de4baa8dbf62dd1539cde5d1dfef409defea,"Datapull,Datapull,Datapull,SKII & Competitor Themes,Competitors,SKII & Competitor Themes,JP FTE Landscape",IPSA Time Reset Aqua,"IPSA,IPSA - 1,Ipsa JP,Pricing & Value,IPSA,Trial & purchase intent,IPSA Time Reset Aqua",0,2020-12-31 15:06 SGT,twitter,0,0,0,0,0,0,Not Viral,Japan,Japanese,POSITIVE,System Sentiment,950288671126646784,三ヶ木🍁LINEスタンプ『きままの気まま４』,unknown,https://pbs.twimg.com/profile_images/1322754757597962240/Oydn1qDv_normal.jpg,1166,269,Comment,,,http://twitter.com/mikagenter/statuses/1344540513945354240,,1344540513945354240,,イプサのザ・タイムRアクア！水みたいにシャバシャバだけどしっかり保湿されるちょっと高いけどその分しっかりケアしようって思えるから良い🤙 https://t.co/iYyKGX3gow,"Ipusa's The Time R Aqua! It's a shabasaba like a water, but it's a bit high, but it seems that it seems to be able to take care of it. Https://t.co/IYYKGX3GOW",1344539358963982336,http://twitter.com/mikagenter/statuses/1344539358963982336,mikagenter,IMAGE,Earned,Mikagenter,,,,2020-12-31 16:16 SGT,
77f0bf304693a70c5e163f09c7825a77af21ed62,"Datapull,Datapull,Datapull,Competitors,JP FTE Landscape",IPSA Time Reset Aqua,"IPSA,Ipsa JP,IPSA - 1,IPSA,IPSA Time Reset Aqua",0,2020-12-31 14:56 SGT,twitter,0,0,0,0,0,25.699,Not Viral,Japan,Japanese,NEGATIVE,System Sentiment,1227606212117553152,豆,unknown,https://pbs.twimg.com/profile_images/1227609901788057600/0xhSg18E_normal.jpg,20,135,Comment,,,http://twitter.com/l__a_m_e__r/statuses/1344537895491649543,,1344537895491649543,,IPSA ザ・タイムR アクア肌荒れが起きにくくなった、来年も使う https://t.co/PeQ4wtG9v9,"IPSA The Time R Aqua Skin It became difficult to get up, HTTPS://T.co/PEQ4WTG9V9 used next year",1344521528898043904,http://twitter.com/l__a_m_e__r/statuses/1344521528898043904,l__a_m_e__r,IMAGE,Earned,L__a_m_e__r,,,,2020-12-31 16:00 SGT,
